participant,trial,expectation,feedback,reference,profile,reset,mean_population,item_number,factor_number
3,19,6,7,3,1,1,4.992307692307692,68,2
3,20,7,8,3,1,1,6.5240506329113925,44,4
3,21,7,6,2,1,1,5.077720207253886,72,2
3,22,7,5,6,1,1,6.596899224806202,73,4
3,23,6,8,6,1,0,6.916243654822335,24,4
3,24,3,3,3,1,0,4.245,66,1
3,25,7,8,5,1,0,5.55440414507772,12,3
3,26,6,5,5,1,1,5.351706036745407,63,3
3,27,7,8,3,1,1,5.235443037974684,30,3
3,28,6,6,7,1,1,6.83080808080808,15,4
3,29,7,8,3,1,1,5.529262086513995,10,3
3,30,6,8,3,1,1,5.948586118251928,13,3
3,31,8,7,NA,1,1,6.839793281653747,27,4
3,32,6,8,6,1,1,6.987146529562982,38,4
3,33,5,6,6,1,1,5.976744186046512,7,3
3,34,5,8,4,1,1,5.394805194805195,67,3
3,35,7,8,3,1,1,6.017456359102244,31,3
3,36,7,8,7,1,1,6.554430379746836,50,4
3,37,3,2,6,1,1,6.0648379052369075,71,4
3,38,7,8,4,1,1,5.297709923664122,65,3
3,39,8,7,7,1,1,7.012626262626263,64,4
3,40,8,8,6,1,1,6.1914357682619645,19,4
3,41,6,3,3,1,1,5.720698254364089,46,3
3,42,7,8,7,1,1,6.892768079800499,1,4
3,43,6,6,6,1,1,7.017721518987342,14,4
3,44,6,6,5,1,1,6.5575,16,4
3,45,5,6,5,1,1,6.01025641025641,43,3.5
3,46,5,6,2,1,1,5.147286821705427,57,2
3,47,4,2,7,1,1,6.0997506234413965,51,4
3,48,7,6,6,1,1,5.959493670886076,4,3
3,49,5,6,2,1,1,6.043701799485861,48,4
3,50,4,2,3,1,0,5.63681592039801,76,3
3,51,7,8,5,1,0,6.776623376623377,32,4
